race/ethnicity,test preparation course,math score,reading score,writing score,total
1,none,52,49,43,144
4,none,73,75,71,219
3,none,81,72,58,211
2,none,62,75,72,209
3,none,55,60,61,176
3,completed,55,61,61,177
4,none,61,62,61,184
5,none,75,70,64,209
5,none,79,65,59,203
3,none,70,70,68,208
1,none,72,65,59,196
3,none,38,46,33,117
1,none,57,71,63,191
4,none,76,71,70,217
3,none,45,45,38,128
4,none,77,73,74,224
3,none,40,39,30,109
5,none,78,83,78,239
1,none,63,65,66,194
3,none,83,70,73,226
3,none,55,52,47,154
2,completed,88,78,76,242
3,none,82,83,85,250
5,none,86,71,71,228
3,none,61,74,72,207
4,completed,78,85,93,256
3,none,67,63,66,196
5,none,83,87,83,253
3,none,68,74,69,211
3,none,53,52,44,149
4,none,91,88,90,269
2,none,67,66,66,199
3,completed,53,64,62,179
3,completed,86,100,100,286
5,completed,75,70,61,206
3,none,55,38,35,128
4,completed,93,86,95,274
5,none,62,71,66,199
3,none,83,76,71,230
4,none,73,72,64,209
3,none,57,52,53,162
3,none,70,75,75,220
2,completed,55,62,64,181
3,none,65,56,51,172
3,completed,76,85,88,249
3,none,59,47,46,152
3,completed,74,73,77,224
2,none,65,59,60,184
2,completed,89,87,89,265
2,none,71,82,82,235
3,completed,63,69,59,191
3,completed,57,55,60,172
2,completed,56,67,56,179
1,completed,49,44,41,134
3,completed,28,44,50,122
3,none,69,73,71,213
4,none,49,62,60,171
2,completed,67,62,58,187
2,completed,74,85,82,241
3,completed,47,67,63,177
3,none,63,63,69,195
3,none,73,51,53,177
4,none,91,94,96,281
2,none,80,87,79,246
3,none,66,73,68,207
2,none,52,48,43,143
2,none,65,71,65,201
4,completed,83,75,71,229
3,none,80,85,78,243
5,none,68,68,59,195
3,completed,68,73,68,209
3,none,62,43,45,150
2,none,76,88,84,248
3,none,77,79,83,239
5,none,83,81,83,247
3,none,71,78,82,231
4,completed,86,91,89,266
2,none,93,96,96,285
2,none,60,64,60,184
4,none,57,56,58,171
3,none,84,79,74,237
4,none,66,71,75,212
4,none,85,69,74,228
4,completed,57,68,76,201
3,none,41,49,49,139
3,none,75,76,76,227
4,none,65,63,60,188
5,none,78,65,60,203
2,none,26,34,28,88
5,none,71,64,66,201
2,completed,86,92,93,271
2,completed,89,84,81,254
2,none,53,64,63,180
3,none,87,87,92,266
4,none,71,57,59,187
4,none,77,80,72,229
3,completed,43,48,53,144
3,none,88,91,86,265
5,none,86,76,63,225
5,completed,45,56,55,156
3,none,69,56,57,182
4,none,65,70,72,207
5,none,81,79,71,231
1,none,90,88,86,264
5,none,78,72,71,221
3,completed,71,79,89,239
3,none,75,80,72,227
3,none,70,60,56,186
2,none,54,52,48,154
2,none,49,36,32,117
2,completed,80,82,82,244
5,none,78,89,93,260
3,none,89,77,82,248
3,completed,65,83,82,230
4,none,78,74,71,223
4,none,69,85,78,232
4,none,49,47,48,144
4,none,50,64,66,180
5,none,79,76,71,226
4,completed,89,92,97,278
1,completed,48,61,59,168
1,none,63,67,71,201
3,none,88,100,88,276
4,none,66,73,73,212
2,none,45,59,56,160
5,completed,62,78,73,213
4,completed,74,80,86,240
4,none,82,87,90,259
5,completed,83,63,63,209
4,completed,60,72,76,208
4,none,66,73,72,211
3,none,76,66,68,210
2,completed,75,74,76,225
2,completed,77,72,79,228
5,none,82,88,86,256
3,completed,63,59,60,182
4,none,70,85,85,240
4,completed,84,71,76,231
3,completed,68,60,63,191
3,none,56,58,50,164
3,none,37,46,43,126
4,none,49,56,53,158
5,completed,100,100,100,300
4,none,83,68,65,216
5,completed,92,100,98,290
5,none,71,62,66,199
4,completed,72,76,73,221
4,none,37,53,48,138
3,none,35,43,35,113
3,none,69,68,62,199
3,none,65,73,81,219
5,none,56,48,36,140
4,none,40,46,57,143
5,none,60,62,60,182
3,none,57,66,73,196
3,completed,58,62,66,186
4,completed,74,95,94,263
2,none,77,77,83,237
5,none,66,57,53,176
4,completed,62,79,87,228
3,none,29,38,27,94
2,none,70,73,66,209
1,none,67,64,60,191
3,completed,81,91,94,266
3,none,56,50,43,149
4,none,61,79,76,216
4,completed,47,54,56,157
1,completed,88,87,94,269
3,completed,51,52,52,155
3,none,68,60,62,190
2,none,68,71,71,210
2,none,47,49,50,146
5,completed,84,77,82,243
2,none,69,72,68,209
4,completed,52,69,75,196
2,none,80,79,79,238
3,none,100,84,88,272
3,completed,53,59,64,176
2,completed,59,73,74,206
2,none,78,96,89,263
2,none,84,87,89,260
3,none,52,72,71,195
3,none,81,78,75,234
3,completed,90,95,100,285
1,none,63,73,66,202
4,completed,100,97,100,297
2,none,56,63,62,181
2,none,46,54,54,154
2,completed,75,85,90,250
1,none,46,51,54,151
1,none,42,40,40,122
3,completed,77,86,90,253
3,none,40,63,56,159
4,none,69,71,76,216
3,none,43,50,45,138
3,completed,69,75,71,215
4,completed,89,93,100,282
2,none,44,34,36,114
4,completed,82,83,77,242
4,none,72,72,65,209
3,none,64,53,50,167
4,none,89,73,70,232
5,none,58,53,54,165
1,completed,63,81,78,222
1,none,54,66,69,189
3,completed,83,78,82,243
3,none,57,74,64,195
3,none,52,47,48,147
4,completed,75,93,97,265
5,completed,67,66,64,197
2,none,58,60,53,171
2,none,63,66,68,197
4,none,49,64,57,170
4,none,38,47,52,137
2,completed,74,85,84,243
3,completed,69,84,82,235
4,none,77,82,80,239
1,none,40,59,59,158
2,completed,96,98,100,294
2,none,85,86,85,256
4,none,85,77,76,238
3,none,72,59,54,185
2,none,63,78,73,214
2,none,58,67,58,183
2,none,58,64,54,176
3,none,51,57,53,161
4,completed,100,100,100,300
4,none,77,84,92,253
5,none,63,56,56,175
3,none,64,67,68,199
5,none,100,82,80,262
3,none,66,65,65,196
5,none,87,87,84,258
3,none,73,72,69,214
3,completed,69,66,65,200
3,none,62,64,63,189
3,none,40,48,49,137
3,completed,55,68,60,183
4,completed,77,77,78,232
4,completed,63,70,71,204
4,completed,85,85,91,261
2,none,30,43,40,113
2,none,82,77,71,230
4,completed,81,71,70,222
3,completed,92,100,97,289
2,none,50,48,36,134
2,none,54,60,56,170
3,completed,76,83,78,237
4,none,60,68,74,202
1,completed,45,72,66,183
4,none,80,77,72,229
4,none,52,45,48,145
3,completed,90,89,97,276
4,none,53,65,69,187
3,none,92,95,95,282
3,completed,63,78,75,216
2,none,71,77,79,227
4,none,64,70,73,207
3,completed,67,81,89,237
3,none,63,63,61,187
2,none,63,53,44,160
3,none,59,49,46,154
5,none,49,43,35,127
4,none,75,84,86,245
3,none,34,47,45,126
2,none,53,70,69,192
2,none,63,56,60,179
3,none,75,69,65,209
5,none,63,61,62,186
3,none,70,72,75,217
3,none,61,73,70,204
3,none,74,61,59,194
4,none,57,49,48,154
3,completed,41,52,47,140
4,none,87,80,76,243
3,none,69,71,62,202
3,none,69,77,70,216
4,completed,58,56,56,170
2,completed,47,69,62,178
4,completed,78,69,71,218
2,completed,54,61,71,186
3,none,36,27,26,89
2,completed,94,92,92,278
4,none,68,84,80,232
5,none,90,88,84,262
1,none,57,57,53,167
4,completed,96,95,90,281
2,completed,68,63,62,193
3,completed,52,64,63,179
5,none,90,76,73,239
3,completed,71,82,75,228
3,completed,58,69,74,201
3,none,41,39,34,114
4,completed,43,37,43,123
4,none,85,70,71,226
2,none,71,72,69,212
1,none,72,70,72,214
4,none,70,62,66,198
4,none,89,100,100,289
5,none,92,86,82,260
5,completed,80,79,81,240
3,none,80,70,60,210
2,none,56,64,59,179
5,none,93,86,73,252
3,completed,49,37,41,127
5,none,59,57,58,174
3,completed,64,74,75,213
4,none,73,66,59,198
2,completed,82,86,90,258
4,none,48,43,41,132
1,completed,51,64,62,177
5,completed,38,46,43,127
2,none,45,50,42,137
1,completed,83,92,95,270
2,completed,45,57,56,158
4,none,66,64,62,192
4,completed,60,62,57,179
3,none,49,47,49,145
4,none,80,84,86,250
5,none,75,68,66,209
2,completed,57,68,61,186
2,none,25,36,37,98
5,none,90,87,81,258
4,none,63,70,71,204
5,none,100,91,86,277
3,none,76,68,66,210
2,none,52,58,53,163
2,completed,81,86,93,260
3,completed,90,89,87,266
4,none,83,82,81,246
2,none,61,73,69,203
5,completed,79,69,75,223
2,none,52,53,51,156
2,completed,62,65,67,194
4,none,85,90,84,259
5,completed,74,96,95,265
3,none,83,85,78,246
3,none,78,72,72,222
3,none,41,43,40,124
1,none,77,91,87,255
3,none,95,99,91,285
2,none,50,68,66,184
3,none,74,76,70,220
4,completed,74,93,93,260
5,none,70,62,61,193
4,none,61,59,54,174
1,completed,94,100,100,294
4,none,66,84,77,227
4,none,83,88,93,264
4,none,75,63,60,198
4,completed,56,65,63,184
2,none,66,88,83,237
2,none,61,69,66,196
3,completed,70,79,73,222
3,none,57,59,53,169
3,completed,78,89,90,257
3,none,62,76,67,205
3,completed,64,53,49,166
2,none,55,66,65,186
4,none,72,83,83,238
1,none,49,48,42,139
4,none,62,60,63,185
2,none,76,73,68,217
3,completed,73,86,85,244
3,completed,72,76,78,226
3,none,85,85,76,246
1,none,71,68,65,204
3,none,28,38,31,97
3,none,41,42,38,121
5,none,78,72,68,218
3,none,48,52,44,144
3,none,38,51,47,136
1,completed,91,100,100,291
4,none,71,81,80,232
4,none,84,87,92,263
5,completed,63,60,63,186
1,completed,70,78,87,235
2,completed,48,52,57,157
4,completed,68,72,73,213
4,none,84,84,87,255
4,none,61,62,60,183
3,none,62,59,62,183
3,none,66,78,83,227
3,completed,52,65,71,188
4,completed,68,75,73,216
4,completed,62,68,71,201
5,completed,90,88,84,262
1,none,42,50,44,136
4,completed,74,90,89,253
2,completed,62,61,61,184
3,none,56,55,50,161
3,none,64,52,54,170
4,completed,79,84,80,243
3,none,44,65,63,172
2,completed,69,94,87,250
1,none,53,48,48,149
3,none,74,69,61,204
3,none,49,55,48,152
4,none,57,71,71,199
4,none,61,72,64,197
3,none,65,88,84,237
3,none,51,60,52,163
3,none,49,51,41,141
2,none,56,65,56,177
4,none,65,62,63,190
4,none,70,64,62,196
4,none,91,95,88,274
4,completed,48,56,64,168
3,completed,94,99,100,293
2,none,77,76,73,226
4,none,59,78,75,212
3,none,57,75,70,202
3,none,76,82,74,232
4,none,65,63,64,192
2,completed,75,75,83,233
4,none,70,66,65,201
3,completed,79,79,70,228
5,completed,100,100,100,300
1,completed,83,96,99,278
3,none,70,84,78,232
5,completed,97,80,88,265
5,none,33,32,35,100
2,none,38,40,41,119
3,completed,46,51,47,144
4,none,13,36,37,86
1,none,85,83,78,246
2,none,79,79,80,238
2,none,76,81,79,236
3,completed,53,70,65,188
1,completed,68,70,63,201
4,completed,67,70,70,207
5,completed,100,84,88,272
3,none,54,48,45,147
5,none,72,73,70,215
1,completed,91,97,95,283
4,completed,87,81,86,254
4,none,66,75,74,215
3,none,65,66,64,195
5,completed,41,56,53,150
3,none,67,69,65,201
5,none,94,89,86,269
2,completed,57,70,68,195
1,none,89,83,80,252
1,completed,77,73,80,230
3,none,57,60,50,167
4,completed,72,72,72,216
4,completed,98,94,95,287
4,none,87,97,100,284
3,none,61,57,55,173
3,none,85,100,97,282
4,none,81,85,91,257
4,completed,74,84,79,237
3,none,98,92,90,280
4,none,86,84,89,259
3,completed,85,81,82,248
3,none,68,71,63,202
5,completed,66,78,77,221
2,completed,75,74,71,220
3,none,79,57,58,194
2,none,59,85,82,226
2,none,60,62,58,180
4,none,69,60,54,183
2,none,49,54,58,161
4,none,62,44,52,158
5,completed,70,84,83,237
4,none,71,57,60,188
3,none,71,69,65,205
3,none,50,59,54,163
2,none,52,55,57,164
5,completed,75,65,66,206
3,none,51,64,63,178
3,none,64,48,50,162
1,completed,65,76,72,213
2,none,99,81,87,267
2,none,60,62,58,180
2,none,70,78,80,228
1,completed,77,76,77,230
2,none,37,28,23,88
5,none,73,73,61,207
2,completed,53,74,75,202
2,none,67,58,62,187
2,none,67,79,80,226
2,none,51,57,50,158
4,completed,64,71,70,205
5,none,55,42,43,140
4,completed,55,39,51,145
5,none,86,77,78,241
2,none,71,88,85,244
3,none,71,63,64,198
3,none,51,67,69,187
5,completed,75,76,85,236
3,none,45,31,27,103
2,none,59,54,48,161
5,none,64,69,68,201
1,completed,78,69,73,220
4,none,59,61,58,178
5,none,80,70,71,221
2,completed,68,82,77,227
2,none,77,81,79,237
3,none,66,67,64,197
3,completed,26,44,46,116
4,completed,80,66,69,215
4,none,48,62,61,171
1,none,52,64,55,171
4,none,54,64,64,182
3,completed,59,68,67,194
4,none,77,62,65,204
2,none,64,70,69,203
4,none,83,72,68,223
5,none,70,73,69,212
3,none,72,68,67,207
2,none,83,78,79,240
2,none,52,58,57,167
3,completed,53,73,74,200
4,none,55,55,55,165
3,none,65,63,61,189
5,none,60,67,64,191
5,completed,64,62,59,185
3,none,71,72,69,212
3,completed,61,71,65,197
4,none,61,55,58,174
3,none,65,74,79,218
4,completed,71,83,89,243
5,none,48,49,44,141
5,completed,75,80,75,230
4,none,54,66,65,185
3,none,70,64,65,199
4,none,91,77,72,240
4,completed,33,44,50,127
2,none,45,50,41,136
1,none,45,33,32,110
4,none,62,61,57,180
5,completed,92,79,77,248
4,none,74,75,79,228
3,completed,81,79,83,243
3,none,76,71,66,213
3,completed,57,72,73,202
1,none,63,61,55,179
4,completed,57,62,73,192
2,completed,46,65,64,175
5,completed,49,50,45,144
4,none,54,60,65,179
3,completed,89,87,90,266
4,completed,77,70,78,225
3,none,46,63,60,169
2,completed,66,59,70,195
3,none,48,63,53,164
4,completed,83,76,81,240
3,completed,69,75,74,218
5,none,73,52,54,179
4,none,43,59,59,161
4,completed,91,84,83,258
3,completed,49,58,55,162
2,none,87,86,84,257
2,completed,46,46,44,136
4,completed,63,61,71,195
5,none,100,83,86,269
5,none,86,87,89,262
1,completed,55,73,70,198
5,none,84,100,99,283
2,none,39,51,48,138
2,none,67,57,52,176
4,completed,85,100,97,282
3,none,64,51,44,159
5,none,81,77,74,232
3,none,78,71,67,216
2,none,59,59,58,176
3,none,74,76,70,220
2,completed,31,29,35,95
3,completed,54,55,65,174
3,none,51,51,45,147
2,completed,57,65,68,190
3,none,39,50,49,138
3,none,64,48,48,160
3,completed,69,79,72,220
1,none,58,50,47,155
4,none,63,71,75,209
5,none,74,73,67,214
5,none,78,84,77,239
1,completed,78,78,74,230
2,none,75,76,81,232
4,completed,70,60,65,195
4,none,67,55,53,175
3,none,87,93,88,268
3,none,69,63,66,198
1,none,58,54,58,170
5,completed,86,82,75,243
3,none,73,70,65,208
4,completed,85,91,92,268
3,none,32,35,41,108
3,none,73,74,82,229
1,completed,65,60,62,187
