,parental level of education,math score,reading score,writing score,average_score,parental_education_n
111,some high school,41,52,47,46.67,1
112,master's degree,63,82,71,72.0,6
113,bachelor's degree,43,34,33,36.67,5
114,high school,77,76,74,75.67,2
115,associate's degree,76,79,76,77.0,4
116,some college,49,61,63,57.67,3
117,associate's degree,59,57,55,57.0,4
118,bachelor's degree,59,70,58,62.33,5
119,some high school,76,90,87,84.33,1
120,high school,55,71,71,65.67,2
121,bachelor's degree,78,87,89,84.67,5
122,bachelor's degree,51,53,62,55.33,5
123,some high school,41,43,45,43.0,1
124,associate's degree,74,78,86,79.33,4
125,master's degree,62,54,58,58.0,6
126,associate's degree,77,71,64,70.67,4
127,some high school,45,52,45,47.33,1
128,some college,100,84,87,90.33,3
129,associate's degree,83,95,100,92.67,4
130,associate's degree,77,75,82,78.0,4
131,high school,66,70,64,66.67,2
132,some college,65,63,57,61.67,3
133,associate's degree,62,55,56,57.67,4
134,some college,55,54,54,54.33,3
135,some high school,73,78,69,73.33,1
136,some college,73,81,76,76.67,3
137,associate's degree,48,66,68,60.67,4
138,some college,52,44,49,48.33,3
139,some high school,60,72,64,65.33,1
140,associate's degree,68,63,57,62.67,4
141,some college,65,77,83,75.0,3
142,bachelor's degree,86,83,87,85.33,5
143,associate's degree,55,62,60,59.0,4
144,master's degree,80,71,68,73.0,6
145,high school,51,57,57,55.0,2
146,some high school,63,61,66,63.33,1
147,some college,60,55,46,53.67,3
148,bachelor's degree,100,100,100,100.0,5
149,associate's degree,46,44,44,44.67,4
150,some college,67,78,80,75.0,3
151,high school,54,67,59,60.0,2
152,associate's degree,63,79,76,72.67,4
153,bachelor's degree,68,66,73,69.0,5
154,associate's degree,54,63,58,58.33,4
155,some college,43,44,47,44.67,3
156,high school,64,64,59,62.33,2
157,associate's degree,92,87,87,88.67,4
158,associate's degree,82,95,93,90.0,4
159,some high school,84,78,79,80.33,1
160,associate's degree,84,98,97,93.0,4
161,associate's degree,65,63,65,64.33,4
162,bachelor's degree,83,92,91,88.67,5
163,some high school,70,75,75,73.33,1
164,bachelor's degree,66,72,70,69.33,5
165,bachelor's degree,71,87,92,83.33,5
166,bachelor's degree,66,64,58,62.67,5
167,some high school,57,64,68,63.0,1
168,master's degree,86,90,93,89.67,6
169,high school,80,85,83,82.67,2
170,high school,62,60,59,60.33,2
171,some college,71,71,76,72.67,3
172,some college,57,66,71,64.67,3
173,some high school,69,64,62,65.0,1
174,some college,83,74,72,76.33,3
175,some college,50,56,60,55.33,3
176,bachelor's degree,55,56,56,55.67,5
177,some high school,55,53,51,53.0,1
178,some college,83,93,95,90.33,3
179,high school,89,87,86,87.33,2
180,some high school,51,62,64,59.0,1
181,some college,48,52,49,49.67,3
182,bachelor's degree,84,95,89,89.33,5
183,associate's degree,69,83,76,76.0,4
184,associate's degree,75,85,87,82.33,4
185,master's degree,91,100,99,96.67,6
186,high school,76,77,67,73.33,2
187,some high school,63,61,59,61.0,1
188,high school,73,65,64,67.33,2
189,some high school,52,63,53,56.0,1
190,some high school,58,57,53,56.0,1
191,some high school,33,51,51,45.0,1
192,some high school,68,62,61,63.67,1
193,associate's degree,77,91,89,85.67,4
194,bachelor's degree,64,64,66,64.67,5
195,some high school,39,49,48,45.33,1
196,bachelor's degree,50,46,48,48.0,5
197,master's degree,53,57,51,53.67,6
198,associate's degree,54,62,70,62.0,4
199,high school,74,63,65,67.33,2
200,associate's degree,50,63,65,59.33,4
201,associate's degree,55,54,47,52.0,4
202,some college,77,64,70,70.33,3
203,some high school,49,64,67,60.0,1
204,associate's degree,66,83,82,77.0,4
205,some high school,77,74,75,75.33,1
206,master's degree,74,78,84,78.67,6
207,some college,85,78,81,81.33,3
208,some college,77,86,84,82.33,3
209,associate's degree,64,62,66,64.0,4
210,high school,61,69,68,66.0,2
211,associate's degree,97,88,85,90.0,4
212,some college,66,75,70,70.33,3
213,some high school,62,66,64,64.0,1
214,some high school,64,80,77,73.67,1
215,bachelor's degree,55,57,60,57.33,5
216,associate's degree,53,72,66,63.67,4
217,some college,71,81,77,76.33,3
218,high school,66,59,68,64.33,2
219,associate's degree,68,61,62,63.67,4
220,some college,89,90,83,87.33,3
221,associate's degree,65,69,74,69.33,4
222,some high school,43,48,44,45.0,1
223,master's degree,79,77,83,79.67,6
224,bachelor's degree,99,94,97,96.67,5
225,some high school,82,69,72,74.33,1
226,some college,35,36,39,36.67,3
227,bachelor's degree,61,71,73,68.33,5
228,high school,76,80,81,79.0,2
229,associate's degree,94,83,82,86.33,4
230,high school,75,90,78,81.0,2
231,some college,81,75,70,75.33,3
232,some college,35,44,33,37.33,3
233,some college,76,74,72,74.0,3
234,bachelor's degree,58,79,82,73.0,5
235,associate's degree,100,91,90,93.67,4
236,bachelor's degree,53,68,64,61.67,5
237,high school,82,95,96,91.0,2
238,associate's degree,76,62,64,67.33,4
239,bachelor's degree,83,75,75,77.67,5
240,some college,72,84,82,79.33,3
241,associate's degree,76,76,83,78.33,4
242,some high school,66,64,58,62.67,1
243,some college,63,65,63,63.67,3
244,some high school,36,34,28,32.67,1
245,high school,68,74,71,71.0,2
246,some high school,40,52,42,44.67,1
247,some high school,68,71,61,66.67,1
248,associate's degree,56,54,52,54.0,4
249,associate's degree,74,83,80,79.0,4
250,some college,53,70,71,64.67,3
251,some high school,88,65,70,74.33,1
252,some high school,67,63,61,63.67,1
253,associate's degree,60,76,65,67.0,4
254,high school,51,61,54,55.33,2
255,some high school,53,66,59,59.33,1
256,bachelor's degree,80,78,74,77.33,5
257,some high school,69,71,67,69.0,1
258,some high school,64,79,70,71.0,1
259,associate's degree,80,87,89,85.33,4
260,some high school,58,72,62,64.0,1
261,high school,39,46,50,45.0,2
262,some high school,64,56,50,56.67,1
263,associate's degree,61,66,63,63.33,4
264,some high school,90,82,88,86.67,1
265,some high school,73,71,64,69.33,1
266,associate's degree,73,73,70,72.0,4
267,associate's degree,67,76,77,73.33,4
268,some college,57,58,62,59.0,3
269,some college,65,73,72,70.0,3
270,some high school,71,72,71,71.33,1
271,some high school,59,69,72,66.67,1
272,high school,74,71,65,70.0,2
273,high school,93,100,93,95.33,2
274,some high school,85,93,92,90.0,1
275,some high school,76,83,79,79.33,1
276,high school,58,72,70,66.67,2
277,associate's degree,72,77,77,75.33,4
278,high school,40,49,47,45.33,2
279,high school,75,73,66,71.33,2
280,some high school,85,81,80,82.0,1
281,associate's degree,100,100,100,100.0,4
282,some college,53,65,66,61.33,3
283,some college,40,42,39,40.33,3
284,bachelor's degree,49,49,49,49.0,5
285,associate's degree,77,80,80,79.0,4
286,high school,82,89,84,85.0,2
287,some college,55,48,42,48.33,3
288,some high school,62,71,77,70.0,1
289,high school,69,63,59,63.67,2
290,associate's degree,78,74,76,76.0,4
291,high school,71,77,82,76.67,2
292,some college,59,71,66,65.33,3
293,high school,60,75,70,68.33,2
294,bachelor's degree,43,60,60,54.33,5
295,some high school,77,83,86,82.0,1
296,some high school,50,47,46,47.67,1
297,bachelor's degree,56,58,52,55.33,5
298,high school,69,58,50,59.0,2
299,high school,47,43,39,43.0,2
300,some college,43,28,24,31.67,3
301,some high school,48,39,40,42.33,1
302,high school,55,62,49,55.33,2
303,some college,73,68,66,69.0,3
304,bachelor's degree,71,63,66,66.67,5
305,some college,54,57,60,57.0,3
306,high school,66,61,63,63.33,2
307,master's degree,63,63,67,64.33,6
308,bachelor's degree,66,81,73,73.33,5
309,bachelor's degree,79,80,75,78.0,5
310,associate's degree,73,69,70,70.67,4
311,some high school,36,57,53,48.67,1
312,associate's degree,50,48,43,47.0,4
313,some college,87,78,80,81.67,3
314,associate's degree,71,68,63,67.33,4
315,associate's degree,85,87,94,88.67,4
316,high school,58,67,64,63.0,2
317,some college,86,83,81,83.33,3
318,some high school,64,86,89,79.67,1
319,some college,83,85,79,82.33,3
320,high school,58,56,49,54.33,2
321,some college,59,83,81,74.33,3
322,high school,40,58,54,50.67,2
323,associate's degree,82,83,85,83.33,4
324,some high school,87,84,80,83.67,1
325,some high school,62,65,64,63.67,1
326,associate's degree,76,80,78,78.0,4
327,high school,63,69,60,64.0,2
328,some college,58,60,59,59.0,3
329,associate's degree,61,63,65,63.0,4
330,some college,78,69,71,72.67,3
331,bachelor's degree,78,90,81,83.0,5
332,some college,56,54,43,51.0,3
333,some high school,96,83,82,87.0,1
334,high school,48,43,40,43.67,2
335,associate's degree,70,76,72,72.67,4
336,some college,43,68,58,56.33,3
337,high school,45,46,49,46.67,2
338,associate's degree,58,68,62,62.67,4
339,high school,70,73,80,74.33,2
340,some high school,60,61,58,59.67,1
341,some high school,52,53,47,50.67,1
342,associate's degree,61,62,54,59.0,4
343,some high school,55,70,61,62.0,1
344,high school,80,80,79,79.67,2
345,some college,63,60,54,59.0,3
346,master's degree,79,79,87,81.67,6
347,associate's degree,74,78,72,74.67,4
348,some college,46,58,64,56.0,3
349,some high school,72,88,92,84.0,1
350,some high school,58,64,64,62.0,1
351,master's degree,47,50,47,48.0,6
352,bachelor's degree,68,78,84,76.67,5
353,bachelor's degree,68,71,67,68.67,5
354,high school,65,75,68,69.33,2
355,associate's degree,50,54,51,51.67,4
356,high school,48,71,68,62.33,2
357,bachelor's degree,58,60,64,60.67,5
358,some high school,71,74,68,71.0,1
359,some high school,58,52,48,52.67,1
360,some college,66,90,83,79.67,3
361,some college,44,53,43,46.67,3
362,some high school,51,63,66,60.0,1
363,some college,78,83,77,79.33,3
364,high school,72,71,65,69.33,2
365,associate's degree,60,64,67,63.67,4
366,associate's degree,55,61,60,58.67,4
367,some high school,64,67,64,65.0,1
368,some high school,57,64,60,60.33,1
369,high school,70,75,74,73.0,2
370,some high school,84,72,76,77.33,1
371,some college,66,71,76,71.0,3
372,bachelor's degree,56,65,73,64.67,5
373,some college,59,53,56,56.0,3
374,bachelor's degree,87,89,84,86.67,5
375,high school,73,75,64,70.67,2
376,high school,85,91,89,88.33,2
377,some college,49,54,42,48.33,3
378,bachelor's degree,82,87,90,86.33,5
379,some college,80,90,90,86.67,3
380,high school,48,51,43,47.33,2
381,high school,85,83,94,87.33,2
382,some high school,70,78,76,74.67,1
383,associate's degree,89,84,81,84.67,4
384,high school,72,86,79,79.0,2
385,some high school,80,86,87,84.33,1
386,some high school,43,57,50,50.0,1
387,some high school,54,61,61,58.67,1
388,associate's degree,82,82,78,80.67,4
389,bachelor's degree,74,80,78,77.33,5
390,some college,63,62,64,63.0,3
391,high school,47,56,51,51.33,2
392,some college,13,29,23,21.67,3
393,some college,67,58,56,60.33,3
394,some high school,57,59,54,56.67,1
395,some high school,64,78,83,75.0,1
396,associate's degree,85,100,100,95.0,4
397,associate's degree,70,80,86,78.67,4
398,bachelor's degree,90,73,83,82.0,5
399,some college,53,70,69,64.0,3
400,some college,74,73,75,74.0,3
401,associate's degree,61,71,67,66.33,4
402,some high school,55,74,73,67.33,1
403,some college,65,63,66,64.67,3
404,high school,77,77,79,77.67,2
405,associate's degree,74,61,56,63.67,4
406,some college,94,92,85,90.33,3
407,associate's degree,54,64,68,62.0,4
408,high school,52,49,43,48.0,2
409,some college,73,75,71,73.0,3
410,high school,81,72,58,70.33,2
411,bachelor's degree,62,75,72,69.67,5
412,master's degree,55,60,61,58.67,6
413,some high school,55,61,61,59.0,1
414,some high school,61,62,61,61.33,1
415,high school,75,70,64,69.67,2
416,some college,79,65,59,67.67,3
417,some high school,70,70,68,69.33,1
418,some college,72,65,59,65.33,3
419,some high school,38,46,33,39.0,1
420,bachelor's degree,57,71,63,63.67,5
421,some high school,76,71,70,72.33,1
422,some college,45,45,38,42.67,3
423,associate's degree,77,73,74,74.67,4
424,high school,40,39,30,36.33,2
425,some college,78,83,78,79.67,3
426,master's degree,63,65,66,64.67,6
427,associate's degree,83,70,73,75.33,4
428,associate's degree,55,52,47,51.33,4
429,some college,88,78,76,80.67,3
430,bachelor's degree,82,83,85,83.33,5
431,bachelor's degree,86,71,71,76.0,5
432,associate's degree,61,74,72,69.0,4
433,some college,78,85,93,85.33,3
434,associate's degree,67,63,66,65.33,4
435,some high school,83,87,83,84.33,1
436,some high school,68,74,69,70.33,1
437,some college,53,52,44,49.67,3
438,associate's degree,91,88,90,89.67,4
439,associate's degree,67,66,66,66.33,4
440,high school,53,64,62,59.67,2
441,master's degree,86,100,100,95.33,6
442,some high school,75,70,61,68.67,1
443,some college,55,38,35,42.67,3
444,bachelor's degree,93,86,95,91.33,5
445,high school,62,71,66,66.33,2
446,some college,83,76,71,76.67,3
447,some high school,73,72,64,69.67,1
448,high school,57,52,53,54.0,2
449,some college,70,75,75,73.33,3
450,high school,55,62,64,60.33,2
451,high school,65,56,51,57.33,2
452,some high school,76,85,88,83.0,1
453,master's degree,59,47,46,50.67,6
454,associate's degree,74,73,77,74.67,4
455,some high school,65,59,60,61.33,1
456,some college,89,87,89,88.33,3
457,master's degree,71,82,82,78.33,6
458,some college,63,69,59,63.67,3
459,some high school,57,55,60,57.33,1
460,some college,56,67,56,59.67,3
461,some high school,49,44,41,44.67,1
462,some college,28,44,50,40.67,3
463,bachelor's degree,69,73,71,71.0,5
464,some high school,49,62,60,57.0,1
465,some high school,67,62,58,62.33,1
466,some college,74,85,82,80.33,3
467,bachelor's degree,47,67,63,59.0,5
468,some college,63,63,69,65.0,3
469,some college,73,51,53,59.0,3
470,some college,91,94,96,93.67,3
471,some college,80,87,79,82.0,3
472,associate's degree,66,73,68,69.0,4
473,some college,52,48,43,47.67,3
474,some college,65,71,65,67.0,3
475,some college,83,75,71,76.33,3
476,some high school,80,85,78,81.0,1
477,bachelor's degree,68,68,59,65.0,5
478,some college,68,73,68,69.67,3
479,associate's degree,62,43,45,50.0,4
480,some high school,76,88,84,82.67,1
481,bachelor's degree,77,79,83,79.67,5
482,master's degree,83,81,83,82.33,6
483,some college,71,78,82,77.0,3
484,some college,86,91,89,88.67,3
485,master's degree,93,96,96,95.0,6
486,associate's degree,60,64,60,61.33,4
487,some high school,57,56,58,57.0,1
488,bachelor's degree,84,79,74,79.0,5
489,bachelor's degree,66,71,75,70.67,5
490,master's degree,85,69,74,76.0,6
491,master's degree,57,68,76,67.0,6
492,some high school,41,49,49,46.33,1
493,some high school,75,76,76,75.67,1
494,high school,65,63,60,62.67,2
495,some college,78,65,60,67.67,3
496,some high school,26,34,28,29.33,1
497,some college,71,64,66,67.0,3
498,bachelor's degree,86,92,93,90.33,5
499,associate's degree,89,84,81,84.67,4
500,high school,53,64,63,60.0,2
501,associate's degree,87,87,92,88.67,4
502,associate's degree,71,57,59,62.33,4
503,high school,77,80,72,76.33,2
504,high school,43,48,53,48.0,2
505,associate's degree,88,91,86,88.33,4
506,some high school,86,76,63,75.0,1
507,some high school,45,56,55,52.0,1
508,some college,69,56,57,60.67,3
509,high school,65,70,72,69.0,2
510,some college,81,79,71,77.0,3
511,some high school,90,88,86,88.0,1
512,associate's degree,78,72,71,73.67,4
513,master's degree,71,79,89,79.67,6
514,some high school,75,80,72,75.67,1
515,bachelor's degree,70,60,56,62.0,5
516,associate's degree,54,52,48,51.33,4
517,high school,49,36,32,39.0,2
518,associate's degree,80,82,82,81.33,4
519,bachelor's degree,78,89,93,86.67,5
520,bachelor's degree,89,77,82,82.67,5
521,bachelor's degree,65,83,82,76.67,5
522,associate's degree,78,74,71,74.33,4
523,high school,69,85,78,77.33,2
524,some college,49,47,48,48.0,3
525,master's degree,50,64,66,60.0,6
526,some college,79,76,71,75.33,3
527,some college,89,92,97,92.67,3
528,associate's degree,48,61,59,56.0,4
529,bachelor's degree,63,67,71,67.0,5
530,some college,88,100,88,92.0,3
531,associate's degree,66,73,73,70.67,4
532,some college,45,59,56,53.33,3
533,some high school,62,78,73,71.0,1
534,some college,74,80,86,80.0,3
535,bachelor's degree,82,87,90,86.33,5
536,some college,83,63,63,69.67,3
537,some high school,60,72,76,69.33,1
538,high school,66,73,72,70.33,2
539,bachelor's degree,76,66,68,70.0,5
540,associate's degree,75,74,76,75.0,4
541,some college,77,72,79,76.0,3
542,some college,82,88,86,85.33,3
543,associate's degree,63,59,60,60.67,4
544,high school,70,85,85,80.0,2
545,associate's degree,84,71,76,77.0,4
546,high school,68,60,63,63.67,2
547,some college,56,58,50,54.67,3
548,associate's degree,37,46,43,42.0,4
549,some high school,49,56,53,52.67,1
550,some college,100,100,100,100.0,3
551,some college,83,68,65,72.0,3
552,master's degree,92,100,98,96.67,6
553,master's degree,71,62,66,66.33,6
554,associate's degree,72,76,73,73.67,4
555,bachelor's degree,37,53,48,46.0,5
556,bachelor's degree,35,43,35,37.67,5
557,some college,69,68,62,66.33,3
558,bachelor's degree,65,73,81,73.0,5
559,high school,56,48,36,46.67,2
560,high school,40,46,57,47.67,2
561,high school,60,62,60,60.67,2
562,some high school,57,66,73,65.33,1
563,some high school,58,62,66,62.0,1
564,some college,74,95,94,87.67,3
565,some college,77,77,83,79.0,3
566,some college,66,57,53,58.67,3
567,some college,62,79,87,76.0,3
568,high school,29,38,27,31.33,2
569,some college,70,73,66,69.67,3
570,associate's degree,67,64,60,63.67,4
571,high school,81,91,94,88.67,2
572,associate's degree,56,50,43,49.67,4
573,some college,61,79,76,72.0,3
574,high school,47,54,56,52.33,2
575,bachelor's degree,88,87,94,89.67,5
576,some college,51,52,52,51.67,3
577,master's degree,68,60,62,63.33,6
578,associate's degree,68,71,71,70.0,4
579,high school,47,49,50,48.67,2
580,master's degree,84,77,82,81.0,6
581,some college,69,72,68,69.67,3
582,bachelor's degree,52,69,75,65.33,5
583,associate's degree,80,79,79,79.33,4
584,bachelor's degree,100,84,88,90.67,5
585,high school,53,59,64,58.67,2
586,master's degree,59,73,74,68.67,6
587,some college,78,96,89,87.67,3
588,associate's degree,84,87,89,86.67,4
589,high school,52,72,71,65.0,2
590,associate's degree,81,78,75,78.0,4
591,associate's degree,90,95,100,95.0,4
592,high school,63,73,66,67.33,2
593,bachelor's degree,100,97,100,99.0,5
594,some college,56,63,62,60.33,3
595,some college,46,54,54,51.33,3
596,high school,75,85,90,83.33,2
597,some college,46,51,54,50.33,3
598,some high school,42,40,40,40.67,1
599,some high school,77,86,90,84.33,1
600,some college,40,63,56,53.0,3
601,high school,69,71,76,72.0,2
602,high school,43,50,45,46.0,2
603,associate's degree,69,75,71,71.67,4
604,bachelor's degree,89,93,100,94.0,5
605,associate's degree,44,34,36,38.0,4
606,high school,82,83,77,80.67,2
607,associate's degree,72,72,65,69.67,4
608,bachelor's degree,64,53,50,55.67,5
609,some high school,89,73,70,77.33,1
610,associate's degree,58,53,54,55.0,4
611,high school,63,81,78,74.0,2
612,bachelor's degree,54,66,69,63.0,5
613,high school,83,78,82,81.0,2
614,high school,57,74,64,65.0,2
615,high school,52,47,48,49.0,2
616,high school,75,93,97,88.33,2
617,high school,67,66,64,65.67,2
618,some high school,58,60,53,57.0,1
619,bachelor's degree,63,66,68,65.67,5
620,some high school,49,64,57,56.67,1
621,some college,38,47,52,45.67,3
622,some college,74,85,84,81.0,3
623,associate's degree,69,84,82,78.33,4
624,associate's degree,77,82,80,79.67,4
625,master's degree,40,59,59,52.67,6
626,master's degree,96,98,100,98.0,6
627,bachelor's degree,85,86,85,85.33,5
628,associate's degree,85,77,76,79.33,4
629,high school,72,59,54,61.67,2
630,associate's degree,63,78,73,71.33,4
631,some high school,58,67,58,61.0,1
632,bachelor's degree,58,64,54,58.67,5
633,high school,51,57,53,53.67,2
634,master's degree,100,100,100,100.0,6
635,master's degree,77,84,92,84.33,6
636,bachelor's degree,63,56,56,58.33,5
637,some college,64,67,68,66.33,3
638,high school,100,82,80,87.33,2
639,associate's degree,66,65,65,65.33,4
640,bachelor's degree,87,87,84,86.0,5
641,high school,73,72,69,71.33,2
642,master's degree,69,66,65,66.67,6
643,high school,62,64,63,63.0,2
644,some high school,40,48,49,45.67,1
645,some college,55,68,60,61.0,3
646,high school,77,77,78,77.33,2
647,some college,63,70,71,68.0,3
648,associate's degree,85,85,91,87.0,4
649,high school,30,43,40,37.67,2
650,high school,82,77,71,76.67,2
651,associate's degree,81,71,70,74.0,4
652,some high school,92,100,97,96.33,1
653,some college,50,48,36,44.67,3
654,associate's degree,54,60,56,56.67,4
655,associate's degree,76,83,78,79.0,4
656,some high school,60,68,74,67.33,1
657,associate's degree,45,72,66,61.0,4
658,high school,80,77,72,76.33,2
659,some high school,52,45,48,48.33,1
660,high school,90,89,97,92.0,2
661,high school,53,65,69,62.33,2
662,associate's degree,92,95,95,94.0,4
663,some college,63,78,75,72.0,3
664,some high school,71,77,79,75.67,1
665,some high school,64,70,73,69.0,1
666,some college,67,81,89,79.0,3
667,high school,63,63,61,62.33,2
668,high school,63,53,44,53.33,2
669,some high school,59,49,46,51.33,1
670,high school,49,43,35,42.33,2
671,master's degree,75,84,86,81.67,6
672,some high school,34,47,45,42.0,1
673,associate's degree,53,70,69,64.0,4
674,master's degree,63,56,60,59.67,6
675,associate's degree,75,69,65,69.67,4
676,associate's degree,63,61,62,62.0,4
677,high school,70,72,75,72.33,2
678,some college,61,73,70,68.0,3
679,associate's degree,74,61,59,64.67,4
680,associate's degree,57,49,48,51.33,4
681,some high school,41,52,47,46.67,1
682,some high school,87,80,76,81.0,1
683,high school,69,71,62,67.33,2
684,associate's degree,69,77,70,72.0,4
685,high school,58,56,56,56.67,2
686,some college,47,69,62,59.33,3
687,associate's degree,78,69,71,72.67,4
688,some college,54,61,71,62.0,3
689,some college,36,27,26,29.67,3
690,bachelor's degree,94,92,92,92.67,5
691,associate's degree,68,84,80,77.33,4
692,high school,90,88,84,87.33,2
693,some college,57,57,53,55.67,3
694,some college,96,95,90,93.67,3
695,some high school,68,63,62,64.33,1
696,some high school,52,64,63,59.67,1
697,associate's degree,90,76,73,79.67,4
698,some college,71,82,75,76.0,3
699,some college,58,69,74,67.0,3
700,some high school,41,39,34,38.0,1
701,some high school,43,37,43,41.0,1
702,high school,85,70,71,75.33,2
703,some high school,71,72,69,70.67,1
704,high school,72,70,72,71.33,2
705,associate's degree,70,62,66,66.0,4
706,bachelor's degree,89,100,100,96.33,5
707,high school,92,86,82,86.67,2
708,some college,80,79,81,80.0,3
709,some high school,80,70,60,70.0,1
710,high school,56,64,59,59.67,2
711,high school,93,86,73,84.0,2
712,associate's degree,49,37,41,42.33,4
713,master's degree,59,57,58,58.0,6
714,some high school,64,74,75,71.0,1
715,some high school,73,66,59,66.0,1
716,some college,82,86,90,86.0,3
717,high school,48,43,41,44.0,2
718,some high school,51,64,62,59.0,1
719,some high school,38,46,43,42.33,1
720,some college,45,50,42,45.67,3
721,some college,83,92,95,90.0,3
722,some high school,45,57,56,52.67,1
723,high school,66,64,62,64.0,2
724,high school,60,62,57,59.67,2
725,associate's degree,49,47,49,48.33,4
726,bachelor's degree,80,84,86,83.33,5
727,high school,75,68,66,69.67,2
728,some college,57,68,61,62.0,3
729,some high school,25,36,37,32.67,1
730,some college,90,87,81,86.0,3
731,some college,63,70,71,68.0,3
732,associate's degree,100,91,86,92.33,4
733,associate's degree,76,68,66,70.0,4
734,some high school,52,58,53,54.33,1
735,master's degree,81,86,93,86.67,6
736,associate's degree,90,89,87,88.67,4
737,associate's degree,83,82,81,82.0,4
738,high school,61,73,69,67.67,2
739,associate's degree,79,69,75,74.33,4
740,some college,52,53,51,52.0,3
741,bachelor's degree,62,65,67,64.67,5
742,some college,85,90,84,86.33,3
743,high school,74,96,95,88.33,2
744,associate's degree,83,85,78,82.0,4
745,some college,78,72,72,74.0,3
746,high school,41,43,40,41.33,2
747,high school,77,91,87,85.0,2
748,bachelor's degree,95,99,91,95.0,5
749,high school,50,68,66,61.33,2
750,some college,74,76,70,73.33,3
751,bachelor's degree,74,93,93,86.67,5
752,high school,70,62,61,64.33,2
